"x","y","EBOV","BDBV","BOMV","TAFV","RESTV","SUDV","MARV","LLOV","MLAV","RAVN","DEHV"
16.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
17.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
18.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
19.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
20.5,64.50107,2,NA,NA,3,1,3,NA,3,NA,NA,NA
24.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
25.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
26.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
27.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
28.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
29.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
30.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
31.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
32.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
33.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
34.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
37.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
38.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
39.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
40.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
41.5,64.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
42.5,64.50107,3,NA,NA,3,1,3,1,3,1,1,1
43.5,64.50107,3,NA,NA,3,1,3,1,3,1,1,1
44.5,64.50107,3,NA,NA,3,1,3,1,3,1,1,1
45.5,64.50107,1,NA,NA,1,NA,1,1,1,1,1,1
46.5,64.50107,1,NA,NA,1,NA,1,1,1,1,1,1
47.5,64.50107,1,NA,NA,1,NA,1,1,1,1,1,1
48.5,64.50107,1,NA,NA,1,NA,1,1,1,1,1,1
49.5,64.50107,1,NA,NA,1,NA,1,1,1,1,1,1
50.5,64.50107,1,NA,NA,1,NA,1,1,1,1,1,1
73.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
74.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
75.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
76.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
77.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
78.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
79.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
80.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
81.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
82.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
83.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
84.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
85.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
86.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
87.5,64.50107,1,1,NA,1,1,1,1,1,1,1,1
88.5,64.50107,1,1,NA,1,1,1,1,1,1,1,1
89.5,64.50107,1,1,NA,1,1,1,1,1,1,1,1
90.5,64.50107,1,1,NA,1,1,1,1,1,1,1,1
91.5,64.50107,1,1,NA,1,1,1,1,1,1,1,1
110.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
111.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
112.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
113.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
114.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
115.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
116.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
117.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
118.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
119.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
120.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
121.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
122.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
123.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
124.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
125.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
126.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
127.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
128.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
129.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
130.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
131.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
132.5,64.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
133.5,64.50107,1,1,NA,2,NA,2,1,1,1,1,1
134.5,64.50107,1,1,NA,2,NA,2,1,1,1,1,1
135.5,64.50107,1,1,NA,2,NA,2,1,1,1,1,1
136.5,64.50107,1,1,NA,2,NA,2,1,1,1,1,1
137.5,64.50107,1,1,NA,2,NA,2,1,1,1,1,1
138.5,64.50107,1,1,NA,2,NA,2,1,1,1,1,1
139.5,64.50107,1,1,NA,2,NA,2,1,1,1,1,1
